drug_a	drug_b	cell_line	score	fold
CARBOPLATIN	GELDANAMYCIN	UWB1289	5.7114022581	1
CARBOPLATIN	GELDANAMYCIN	VCAP	6.4167312724	1
CARBOPLATIN	GELDANAMYCIN	ZR751	-34.8495110418	1
CARBOPLATIN	L778123	A2058	0.3311250385	3
CARBOPLATIN	L778123	A2780	0.20099448239999998	3
CARBOPLATIN	L778123	A375	-2.3019537329	3
CARBOPLATIN	L778123	A427	8.8903020397	3
CARBOPLATIN	L778123	CAOV3	-6.0648864867	3
CARBOPLATIN	L778123	COLO320DM	-4.1549628688	3
CARBOPLATIN	L778123	DLD1	-3.1817283094	3
CARBOPLATIN	L778123	EFM192B	-13.544687701500001	3
CARBOPLATIN	L778123	ES2	-2.8066429662	3
CARBOPLATIN	L778123	HCT116	-7.790459360599999	3
CARBOPLATIN	L778123	HT144	-7.3391215049000005	3
CARBOPLATIN	L778123	HT29	12.7817938765	3
CARBOPLATIN	L778123	KPL1	-8.6430884511	3
CARBOPLATIN	L778123	LNCAP	-3.9256319772	3
CARBOPLATIN	L778123	LOVO	2.8937681189999997	3
CARBOPLATIN	L778123	MDAMB436	-0.0061063152	3
CARBOPLATIN	L778123	MSTO	-17.3342656869	3
CARBOPLATIN	L778123	NCIH1650	-15.0298901202	3
CARBOPLATIN	L778123	NCIH2122	1.0729085084	3
CARBOPLATIN	L778123	NCIH23	2.0458583462999997	3
CARBOPLATIN	L778123	NCIH460	-7.6567998585	3
CARBOPLATIN	L778123	NCIH520	-2.7734545516000004	3
CARBOPLATIN	L778123	OCUBM	0.461550776	3
CARBOPLATIN	L778123	OV90	-0.1590348656	3
CARBOPLATIN	L778123	OVCAR3	-28.3726633278	3
CARBOPLATIN	L778123	PA1	-4.6849484057	3
CARBOPLATIN	L778123	RKO	1.8706308271	3
CARBOPLATIN	L778123	RPMI7951	-7.5788002322	3
CARBOPLATIN	L778123	SKMEL30	-4.1038521673	3
CARBOPLATIN	L778123	SKMES1	1.2938040351	3
CARBOPLATIN	L778123	SKOV3	-1.5508555413999998	3
CARBOPLATIN	L778123	SW620	-13.834024971500002	3
CARBOPLATIN	L778123	SW837	-2.4073383097	3
CARBOPLATIN	L778123	T47D	-31.790739852199998	3
CARBOPLATIN	L778123	UACC62	-9.7728984728	3
CARBOPLATIN	L778123	UWB1289BRCA1	-0.6820621297	3
CARBOPLATIN	L778123	UWB1289	13.5301115726	3
CARBOPLATIN	L778123	VCAP	4.9822402833999995	3
CARBOPLATIN	L778123	ZR751	0.0426410111	3
CARBOPLATIN	LAPATINIB	A2058	-5.2848856154	4
CARBOPLATIN	LAPATINIB	A2780	2.2590634263	4
CARBOPLATIN	LAPATINIB	A375	7.3668116315	4
CARBOPLATIN	LAPATINIB	A427	-15.0562609435	4
CARBOPLATIN	LAPATINIB	CAOV3	-2.549850481	4
CARBOPLATIN	LAPATINIB	COLO320DM	1.4829637093	4
CARBOPLATIN	LAPATINIB	DLD1	-1.4388499869999998	4
CARBOPLATIN	LAPATINIB	EFM192B	3.4660156511	4
CARBOPLATIN	LAPATINIB	ES2	-2.0719412908000003	4
CARBOPLATIN	LAPATINIB	HCT116	7.1939723000999996	4
CARBOPLATIN	LAPATINIB	HT144	10.205043193	4
CARBOPLATIN	LAPATINIB	HT29	6.492061958200001	4
CARBOPLATIN	LAPATINIB	KPL1	8.8125343228	4
CARBOPLATIN	LAPATINIB	LNCAP	-31.016338632800004	4
CARBOPLATIN	LAPATINIB	LOVO	29.269676975	4
CARBOPLATIN	LAPATINIB	MDAMB436	5.8044889371	4
CARBOPLATIN	LAPATINIB	MSTO	-22.3610098787	4
CARBOPLATIN	LAPATINIB	NCIH1650	-3.9126033881	4
CARBOPLATIN	LAPATINIB	NCIH2122	-4.6959553188	4
CARBOPLATIN	LAPATINIB	NCIH23	-6.743798977000001	4
CARBOPLATIN	LAPATINIB	NCIH460	-21.721153002199998	4
CARBOPLATIN	LAPATINIB	NCIH520	-6.657165865900001	4
CARBOPLATIN	LAPATINIB	OCUBM	7.2433580389	4
CARBOPLATIN	LAPATINIB	OV90	-15.334332203499999	4
CARBOPLATIN	LAPATINIB	OVCAR3	21.0789869425	4
CARBOPLATIN	LAPATINIB	PA1	0.6889822731999999	4
CARBOPLATIN	LAPATINIB	RKO	-5.3602261046	4
CARBOPLATIN	LAPATINIB	RPMI7951	0.7958959390000001	4
CARBOPLATIN	LAPATINIB	SKMEL30	-15.1917124594	4
CARBOPLATIN	LAPATINIB	SKMES1	9.0725521477	4
CARBOPLATIN	LAPATINIB	SKOV3	-0.2854540671	4
CARBOPLATIN	LAPATINIB	SW620	-11.0971506192	4
CARBOPLATIN	LAPATINIB	SW837	6.2668153297	4
CARBOPLATIN	LAPATINIB	T47D	-6.6854401915	4
CARBOPLATIN	LAPATINIB	UACC62	15.6150824676	4
CARBOPLATIN	LAPATINIB	UWB1289BRCA1	9.0317358939	4
CARBOPLATIN	LAPATINIB	UWB1289	-4.7160918025	4
CARBOPLATIN	LAPATINIB	VCAP	14.4805556321	4
CARBOPLATIN	LAPATINIB	ZR751	18.7417210189	4
CARBOPLATIN	MK-2206	A2058	1.3534486061000002	4
CARBOPLATIN	MK-2206	A2780	11.7119912251	4
CARBOPLATIN	MK-2206	A375	20.229156559	4
CARBOPLATIN	MK-2206	A427	9.1722720345	4
CARBOPLATIN	MK-2206	CAOV3	46.600766641499995	4
CARBOPLATIN	MK-2206	COLO320DM	0.5856041182	4
CARBOPLATIN	MK-2206	DLD1	-4.4157792264	4
CARBOPLATIN	MK-2206	EFM192B	-37.6958894685	4
CARBOPLATIN	MK-2206	ES2	-2.1042798009	4
CARBOPLATIN	MK-2206	HCT116	34.1126668478	4
CARBOPLATIN	MK-2206	HT144	18.2888619776	4
CARBOPLATIN	MK-2206	HT29	16.467291764000002	4
CARBOPLATIN	MK-2206	KPL1	7.1816642864	4
CARBOPLATIN	MK-2206	LNCAP	-31.203323407	4
CARBOPLATIN	MK-2206	LOVO	-11.7984868801	4
CARBOPLATIN	MK-2206	MDAMB436	17.895182230899998	4
CARBOPLATIN	MK-2206	MSTO	-16.9909624948	4
CARBOPLATIN	MK-2206	NCIH1650	12.0676345043	4
CARBOPLATIN	MK-2206	NCIH2122	-1.5730561263	4
CARBOPLATIN	MK-2206	NCIH23	-6.4602780743	4
CARBOPLATIN	MK-2206	NCIH460	13.1037146099	4
CARBOPLATIN	MK-2206	NCIH520	-5.3468903297	4
CARBOPLATIN	MK-2206	OCUBM	-24.8137104841	4
CARBOPLATIN	MK-2206	OV90	-1.5879029656	4
CARBOPLATIN	MK-2206	OVCAR3	-16.2161907682	4
CARBOPLATIN	MK-2206	PA1	17.8308628124	4
CARBOPLATIN	MK-2206	RKO	35.3475748563	4
CARBOPLATIN	MK-2206	RPMI7951	1.4522525502	4
CARBOPLATIN	MK-2206	SKMEL30	21.790311895100004	4
CARBOPLATIN	MK-2206	SKMES1	-0.21728731980000002	4
CARBOPLATIN	MK-2206	SKOV3	-10.9222126783	4
CARBOPLATIN	MK-2206	SW620	21.9681244835	4
CARBOPLATIN	MK-2206	SW837	-2.4268453044	4
CARBOPLATIN	MK-2206	T47D	-43.917389986	4
CARBOPLATIN	MK-2206	UACC62	9.335639923099999	4
CARBOPLATIN	MK-2206	UWB1289BRCA1	10.97946783	4
CARBOPLATIN	MK-2206	UWB1289	5.6230352709	4
CARBOPLATIN	MK-2206	VCAP	-4.8332497951999995	4
CARBOPLATIN	MK-2206	ZR751	-15.4167155151	4
CARBOPLATIN	MK-4827	A2058	7.7318563899	2
CARBOPLATIN	MK-4827	A2780	9.0630675562	2
CARBOPLATIN	MK-4827	A375	0.520762264	2
CARBOPLATIN	MK-4827	A427	-4.165918270400001	2
CARBOPLATIN	MK-4827	CAOV3	-0.9104212264	2
CARBOPLATIN	MK-4827	COLO320DM	14.501970688499998	2
CARBOPLATIN	MK-4827	DLD1	-10.956669223199999	2
CARBOPLATIN	MK-4827	EFM192B	1.8155255286	2
CARBOPLATIN	MK-4827	ES2	-11.7819106785	2
CARBOPLATIN	MK-4827	HCT116	14.976851698699999	2
CARBOPLATIN	MK-4827	HT144	1.5043334594	2
CARBOPLATIN	MK-4827	HT29	13.1948147404	2
CARBOPLATIN	MK-4827	KPL1	17.357018060399998	2
CARBOPLATIN	MK-4827	LNCAP	-12.0508152476	2
CARBOPLATIN	MK-4827	LOVO	-12.1726947957	2
CARBOPLATIN	MK-4827	MDAMB436	12.5360213445	2
CARBOPLATIN	MK-4827	MSTO	-6.0310568595000005	2
CARBOPLATIN	MK-4827	NCIH1650	10.7823603755	2
CARBOPLATIN	MK-4827	NCIH2122	6.434044547999999	2
CARBOPLATIN	MK-4827	NCIH23	-7.4876089229	2
CARBOPLATIN	MK-4827	NCIH460	6.5222731186	2
CARBOPLATIN	MK-4827	NCIH520	1.5445881719999999	2
CARBOPLATIN	MK-4827	OCUBM	17.8553446054	2
CARBOPLATIN	MK-4827	OV90	-9.005526845599999	2
CARBOPLATIN	MK-4827	OVCAR3	16.538532638699998	2
CARBOPLATIN	MK-4827	PA1	-1.4240098211	2
CARBOPLATIN	MK-4827	RKO	13.961571106400001	2
CARBOPLATIN	MK-4827	RPMI7951	-0.3162039896	2
CARBOPLATIN	MK-4827	SKMEL30	1.4808534693000002	2
CARBOPLATIN	MK-4827	SKMES1	-0.015143813899999999	2
CARBOPLATIN	MK-4827	SKOV3	6.024028461	2
CARBOPLATIN	MK-4827	SW620	12.5817700768	2
CARBOPLATIN	MK-4827	SW837	-18.4010417862	2
CARBOPLATIN	MK-4827	T47D	-45.0521589322	2
CARBOPLATIN	MK-4827	UACC62	-3.0915086352	2
CARBOPLATIN	MK-4827	UWB1289BRCA1	4.2676982308	2
CARBOPLATIN	MK-4827	UWB1289	6.977682486900001	2
CARBOPLATIN	MK-4827	VCAP	26.4262231219	2
CARBOPLATIN	MK-4827	ZR751	-4.7877982207	2
CARBOPLATIN	MK-5108	A2058	-20.013842133	4
CARBOPLATIN	MK-5108	A2780	15.8064156649	4
CARBOPLATIN	MK-5108	A375	16.6634105082	4
CARBOPLATIN	MK-5108	A427	-11.414446059500001	4
CARBOPLATIN	MK-5108	CAOV3	-20.165844648	4
CARBOPLATIN	MK-5108	COLO320DM	-1.2114247235	4
CARBOPLATIN	MK-5108	DLD1	-2.5251718628	4
CARBOPLATIN	MK-5108	EFM192B	-11.5648159069	4
CARBOPLATIN	MK-5108	ES2	10.5413709661	4
CARBOPLATIN	MK-5108	HCT116	4.853547588600001	4
CARBOPLATIN	MK-5108	HT144	2.9450093437000002	4
CARBOPLATIN	MK-5108	HT29	8.4095131802	4
CARBOPLATIN	MK-5108	KPL1	8.9400925105	4
CARBOPLATIN	MK-5108	LNCAP	-39.2529990156	4
CARBOPLATIN	MK-5108	LOVO	-6.4191177227	4
CARBOPLATIN	MK-5108	MDAMB436	2.5717609232	4
CARBOPLATIN	MK-5108	MSTO	4.7405200203	4
CARBOPLATIN	MK-5108	NCIH1650	-11.5512909471	4
CARBOPLATIN	MK-5108	NCIH2122	-10.4698957	4
CARBOPLATIN	MK-5108	NCIH23	3.7386832356	4
CARBOPLATIN	MK-5108	NCIH460	-17.5324902057	4
CARBOPLATIN	MK-5108	NCIH520	-16.6684055633	4
CARBOPLATIN	MK-5108	OCUBM	-1.755799527	4
CARBOPLATIN	MK-5108	OV90	-9.1794061031	4
CARBOPLATIN	MK-5108	OVCAR3	-16.5189705898	4
CARBOPLATIN	MK-5108	PA1	5.9453950802	4
CARBOPLATIN	MK-5108	RKO	29.1104554442	4
CARBOPLATIN	MK-5108	RPMI7951	-6.5091244446	4
CARBOPLATIN	MK-5108	SKMEL30	6.700461435599999	4
CARBOPLATIN	MK-5108	SKMES1	-9.3245575355	4
CARBOPLATIN	MK-5108	SKOV3	8.8269617216	4
CARBOPLATIN	MK-5108	SW620	0.931082898	4
CARBOPLATIN	MK-5108	SW837	-15.7584395292	4
CARBOPLATIN	MK-5108	T47D	22.068550184699998	4
CARBOPLATIN	MK-5108	UACC62	-4.1107286442	4
CARBOPLATIN	MK-5108	UWB1289BRCA1	-5.961142494600001	4
CARBOPLATIN	MK-5108	UWB1289	4.6342172886	4
CARBOPLATIN	MK-5108	VCAP	2.1032638825	4
CARBOPLATIN	MK-5108	ZR751	3.4012201937	4
CARBOPLATIN	MK-8669	A2058	15.2037346962	1
CARBOPLATIN	MK-8669	A2780	18.6461321379	1
CARBOPLATIN	MK-8669	A375	27.267324402600003	1
CARBOPLATIN	MK-8669	A427	25.1939816712	1
CARBOPLATIN	MK-8669	CAOV3	23.4039728118	1
CARBOPLATIN	MK-8669	COLO320DM	13.644992589100001	1
CARBOPLATIN	MK-8669	DLD1	-0.299593638	1
CARBOPLATIN	MK-8669	EFM192B	41.0010948353	1
CARBOPLATIN	MK-8669	ES2	19.681049453900002	1
CARBOPLATIN	MK-8669	HCT116	13.3921396473	1
CARBOPLATIN	MK-8669	HT144	8.593463782	1
CARBOPLATIN	MK-8669	HT29	26.926390874299997	1
CARBOPLATIN	MK-8669	KPL1	51.6406703607	1
CARBOPLATIN	MK-8669	LNCAP	20.645745259	1
CARBOPLATIN	MK-8669	LOVO	19.4042873599	1
CARBOPLATIN	MK-8669	MDAMB436	25.8271263935	1
CARBOPLATIN	MK-8669	MSTO	21.800498251399997	1
CARBOPLATIN	MK-8669	NCIH1650	27.180422221799997	1
CARBOPLATIN	MK-8669	NCIH2122	10.7236678573	1
CARBOPLATIN	MK-8669	NCIH23	1.9194954525999999	1
CARBOPLATIN	MK-8669	NCIH460	28.5216578827	1
CARBOPLATIN	MK-8669	NCIH520	7.404743915399999	1
CARBOPLATIN	MK-8669	OCUBM	32.005675805500005	1
CARBOPLATIN	MK-8669	OV90	11.9048450125	1
CARBOPLATIN	MK-8669	OVCAR3	1.0992765428	1
CARBOPLATIN	MK-8669	PA1	12.635743478	1
CARBOPLATIN	MK-8669	RKO	35.5202613127	1
CARBOPLATIN	MK-8669	RPMI7951	28.8551554622	1
CARBOPLATIN	MK-8669	SKMEL30	38.9800474918	1
CARBOPLATIN	MK-8669	SKMES1	13.0604772967	1
CARBOPLATIN	MK-8669	SKOV3	24.8756293908	1
CARBOPLATIN	MK-8669	SW620	20.4302389635	1
CARBOPLATIN	MK-8669	SW837	22.1821101513	1
CARBOPLATIN	MK-8669	T47D	-30.609229741799997	1
CARBOPLATIN	MK-8669	UACC62	22.8683316352	1
CARBOPLATIN	MK-8669	UWB1289BRCA1	10.116806581	1
CARBOPLATIN	MK-8669	UWB1289	3.8843681807	1
CARBOPLATIN	MK-8669	VCAP	37.002913807	1
CARBOPLATIN	MK-8669	ZR751	15.0306532096	1
CARBOPLATIN	MK-8776	A2058	32.6982278182	3
CARBOPLATIN	MK-8776	A2780	15.9757822504	3
CARBOPLATIN	MK-8776	A375	17.2260587438	3
CARBOPLATIN	MK-8776	A427	4.1802590744	3
CARBOPLATIN	MK-8776	CAOV3	35.1544629996	3
CARBOPLATIN	MK-8776	COLO320DM	12.504046847	3
CARBOPLATIN	MK-8776	DLD1	-5.0333188045999995	3
CARBOPLATIN	MK-8776	EFM192B	33.1462438907	3
CARBOPLATIN	MK-8776	ES2	0.0723774171	3
CARBOPLATIN	MK-8776	HCT116	5.4243700987	3
CARBOPLATIN	MK-8776	HT144	17.3096142616	3
CARBOPLATIN	MK-8776	HT29	10.675897343799999	3
CARBOPLATIN	MK-8776	KPL1	19.3924413361	3
CARBOPLATIN	MK-8776	LNCAP	-10.557650568	3
CARBOPLATIN	MK-8776	LOVO	19.406822007	3
CARBOPLATIN	MK-8776	MDAMB436	21.7545431459	3
CARBOPLATIN	MK-8776	MSTO	-3.4995127479000003	3
CARBOPLATIN	MK-8776	NCIH1650	0.12135048009999999	3
CARBOPLATIN	MK-8776	NCIH2122	-12.7860747608	3
CARBOPLATIN	MK-8776	NCIH23	7.976696691	3
CARBOPLATIN	MK-8776	NCIH460	17.7964809411	3
CARBOPLATIN	MK-8776	NCIH520	5.0462651355000006	3
CARBOPLATIN	MK-8776	OCUBM	37.7633260569	3
CARBOPLATIN	MK-8776	OV90	3.2952077666000004	3
CARBOPLATIN	MK-8776	OVCAR3	46.4755885161	3
CARBOPLATIN	MK-8776	PA1	-0.3052697156	3
CARBOPLATIN	MK-8776	RKO	4.7769454819	3
CARBOPLATIN	MK-8776	RPMI7951	-4.0796849836	3
CARBOPLATIN	MK-8776	SKMEL30	39.0904543404	3
CARBOPLATIN	MK-8776	SKMES1	-5.0319232508	3
CARBOPLATIN	MK-8776	SKOV3	9.4676532059	3
CARBOPLATIN	MK-8776	SW620	-3.8514740527	3
CARBOPLATIN	MK-8776	SW837	-9.3820412009	3
CARBOPLATIN	MK-8776	T47D	-51.43911997439999	3
CARBOPLATIN	MK-8776	UACC62	9.281696692999999	3
CARBOPLATIN	MK-8776	UWB1289BRCA1	-8.2286084127	3
CARBOPLATIN	MK-8776	UWB1289	-3.9496212425	3
CARBOPLATIN	MK-8776	VCAP	9.061264572799999	3
CARBOPLATIN	MK-8776	ZR751	6.1923895864	3
CARBOPLATIN	PD325901	A2058	-31.646250205500003	3
CARBOPLATIN	PD325901	A2780	19.9679166315	3
CARBOPLATIN	PD325901	A375	6.379132885900001	3
CARBOPLATIN	PD325901	A427	-18.1182122227	3
CARBOPLATIN	PD325901	CAOV3	4.0709906002	3
CARBOPLATIN	PD325901	COLO320DM	10.138054758600001	3
CARBOPLATIN	PD325901	DLD1	5.0161815687	3
CARBOPLATIN	PD325901	EFM192B	9.5978974934	3
CARBOPLATIN	PD325901	ES2	-3.5137191974	3
CARBOPLATIN	PD325901	HCT116	-1.1660066558	3
CARBOPLATIN	PD325901	HT144	4.892178346600001	3
CARBOPLATIN	PD325901	HT29	-11.690855550799998	3
CARBOPLATIN	PD325901	KPL1	18.8437610883	3
CARBOPLATIN	PD325901	LNCAP	-43.4835936399	3
CARBOPLATIN	PD325901	LOVO	-0.5551410225	3
CARBOPLATIN	PD325901	MDAMB436	12.629919566500002	3
CARBOPLATIN	PD325901	MSTO	-3.1403360261	3
CARBOPLATIN	PD325901	NCIH1650	4.199487998	3
CARBOPLATIN	PD325901	NCIH2122	-11.119013598599999	3
CARBOPLATIN	PD325901	NCIH23	3.3489301933999998	3
CARBOPLATIN	PD325901	NCIH460	18.4163213364	3
CARBOPLATIN	PD325901	NCIH520	-5.35572884	3
CARBOPLATIN	PD325901	OCUBM	23.8445293835	3
CARBOPLATIN	PD325901	OV90	2.1629580665	3
CARBOPLATIN	PD325901	OVCAR3	-4.5332713876	3
CARBOPLATIN	PD325901	PA1	-16.5637045529	3
CARBOPLATIN	PD325901	RKO	16.294138286	3
CARBOPLATIN	PD325901	RPMI7951	-0.679702412	3
CARBOPLATIN	PD325901	SKMEL30	-19.4100815977	3
CARBOPLATIN	PD325901	SKMES1	-32.529721901	3
CARBOPLATIN	PD325901	SKOV3	-8.4767695025	3
CARBOPLATIN	PD325901	SW620	-17.2062084201	3
CARBOPLATIN	PD325901	SW837	-21.7294747026	3
CARBOPLATIN	PD325901	T47D	-27.4615936802	3
CARBOPLATIN	PD325901	UACC62	-0.9493370119	3
CARBOPLATIN	PD325901	UWB1289BRCA1	-1.4111508262999999	3
CARBOPLATIN	PD325901	UWB1289	3.8820334665	3
CARBOPLATIN	PD325901	VCAP	7.5662605601	3
CARBOPLATIN	PD325901	ZR751	-22.4748662607	3
CARBOPLATIN	SORAFENIB	A2058	-33.2718055213	1
CARBOPLATIN	SORAFENIB	A2780	-13.5442506575	1
CARBOPLATIN	SORAFENIB	A375	-7.882448899299999	1
CARBOPLATIN	SORAFENIB	A427	-1.5014053712	1
CARBOPLATIN	SORAFENIB	CAOV3	-47.1610921362	1
CARBOPLATIN	SORAFENIB	COLO320DM	-14.5871654266	1
CARBOPLATIN	SORAFENIB	DLD1	-4.5402494739999995	1
CARBOPLATIN	SORAFENIB	EFM192B	-32.085185937199995	1
CARBOPLATIN	SORAFENIB	ES2	-19.102660071600003	1
CARBOPLATIN	SORAFENIB	HCT116	-10.0574506117	1
CARBOPLATIN	SORAFENIB	HT144	-6.389939161900001	1
CARBOPLATIN	SORAFENIB	HT29	-12.76639355	1
CARBOPLATIN	SORAFENIB	KPL1	-9.066176760800001	1
CARBOPLATIN	SORAFENIB	LNCAP	-15.399319528800001	1
CARBOPLATIN	SORAFENIB	LOVO	-20.724381613800002	1
CARBOPLATIN	SORAFENIB	MDAMB436	-23.048649216100003	1
CARBOPLATIN	SORAFENIB	MSTO	-9.9884179278	1
CARBOPLATIN	SORAFENIB	NCIH1650	-11.7125494774	1
CARBOPLATIN	SORAFENIB	NCIH2122	-13.316542336	1
CARBOPLATIN	SORAFENIB	NCIH23	-25.7855380936	1
CARBOPLATIN	SORAFENIB	NCIH460	-16.7677628117	1
CARBOPLATIN	SORAFENIB	NCIH520	-3.2708907225	1
CARBOPLATIN	SORAFENIB	OCUBM	-7.8309754582	1
CARBOPLATIN	SORAFENIB	OV90	-14.735371150799999	1
CARBOPLATIN	SORAFENIB	OVCAR3	-35.3598095421	1
CARBOPLATIN	SORAFENIB	PA1	-13.759715583	1
CARBOPLATIN	SORAFENIB	RKO	-4.7261027322	1
CARBOPLATIN	SORAFENIB	RPMI7951	-36.5718778834	1
CARBOPLATIN	SORAFENIB	SKMEL30	-2.3836349895	1
CARBOPLATIN	SORAFENIB	SKMES1	-8.0958386007	1
CARBOPLATIN	SORAFENIB	SKOV3	-21.4855406586	1
CARBOPLATIN	SORAFENIB	SW620	-15.743521478900002	1
CARBOPLATIN	SORAFENIB	SW837	-12.046138946700001	1
CARBOPLATIN	SORAFENIB	T47D	-17.0106283474	1
CARBOPLATIN	SORAFENIB	UACC62	-12.104735570799999	1
CARBOPLATIN	SORAFENIB	UWB1289BRCA1	-16.0399073829	1
CARBOPLATIN	SORAFENIB	UWB1289	-9.218621727	1
CARBOPLATIN	SORAFENIB	VCAP	-3.8487877484	1
CARBOPLATIN	SORAFENIB	ZR751	-24.460105385100004	1
CARBOPLATIN	SUNITINIB	A2058	-8.8203031579	2
CARBOPLATIN	SUNITINIB	A2780	3.118131813	2
CARBOPLATIN	SUNITINIB	A375	12.4945771951	2
CARBOPLATIN	SUNITINIB	A427	6.257997178099999	2
CARBOPLATIN	SUNITINIB	CAOV3	6.4858736012	2
CARBOPLATIN	SUNITINIB	COLO320DM	7.3896382448	2
CARBOPLATIN	SUNITINIB	DLD1	2.8134888661	2
CARBOPLATIN	SUNITINIB	EFM192B	-4.3725665759	2
CARBOPLATIN	SUNITINIB	ES2	11.8171623094	2
CARBOPLATIN	SUNITINIB	HCT116	9.6022935467	2
CARBOPLATIN	SUNITINIB	HT144	4.3114561551	2
CARBOPLATIN	SUNITINIB	HT29	10.5985430384	2
CARBOPLATIN	SUNITINIB	KPL1	11.0441769981	2
CARBOPLATIN	SUNITINIB	LNCAP	-9.491926778	2
CARBOPLATIN	SUNITINIB	LOVO	5.6951084038	2
CARBOPLATIN	SUNITINIB	MDAMB436	0.9452546128	2
CARBOPLATIN	SUNITINIB	MSTO	-3.7894831399	2
CARBOPLATIN	SUNITINIB	NCIH1650	9.294929927	2
CARBOPLATIN	SUNITINIB	NCIH2122	-0.4921545518	2
CARBOPLATIN	SUNITINIB	NCIH23	-10.1879642545	2
CARBOPLATIN	SUNITINIB	NCIH460	4.3569355008	2
CARBOPLATIN	SUNITINIB	NCIH520	8.5551401454	2
CARBOPLATIN	SUNITINIB	OCUBM	4.454738335	2
CARBOPLATIN	SUNITINIB	OV90	3.1451835623	2
CARBOPLATIN	SUNITINIB	OVCAR3	12.9393218445	2
CARBOPLATIN	SUNITINIB	PA1	-8.4514886226	2
CARBOPLATIN	SUNITINIB	RKO	4.1548256685	2
CARBOPLATIN	SUNITINIB	RPMI7951	-17.9132414087	2
CARBOPLATIN	SUNITINIB	SKMEL30	-5.5283836625	2
CARBOPLATIN	SUNITINIB	SKMES1	6.594945213	2
CARBOPLATIN	SUNITINIB	SKOV3	-3.5699542831	2
CARBOPLATIN	SUNITINIB	SW620	4.856379898	2
CARBOPLATIN	SUNITINIB	SW837	-12.8504628075	2
CARBOPLATIN	SUNITINIB	T47D	-14.4808150076	2
CARBOPLATIN	SUNITINIB	UACC62	7.6673702588	2
CARBOPLATIN	SUNITINIB	UWB1289BRCA1	7.127200563300001	2
CARBOPLATIN	SUNITINIB	UWB1289	3.9901043712999997	2
CARBOPLATIN	SUNITINIB	VCAP	19.190969356300002	2
CARBOPLATIN	SUNITINIB	ZR751	12.708767156099999	2
CARBOPLATIN	TEMOZOLOMIDE	A2058	-14.562987290899999	4
CARBOPLATIN	TEMOZOLOMIDE	A2780	-2.7426000751	4
CARBOPLATIN	TEMOZOLOMIDE	A375	-20.9191952213	4
CARBOPLATIN	TEMOZOLOMIDE	A427	-11.578120031700001	4
CARBOPLATIN	TEMOZOLOMIDE	CAOV3	-36.361160693	4
CARBOPLATIN	TEMOZOLOMIDE	COLO320DM	-0.9994420620000001	4
CARBOPLATIN	TEMOZOLOMIDE	DLD1	-19.1016212306	4
CARBOPLATIN	TEMOZOLOMIDE	EFM192B	-30.6293506776	4
CARBOPLATIN	TEMOZOLOMIDE	ES2	-9.0364043761	4
CARBOPLATIN	TEMOZOLOMIDE	HCT116	-9.3216682667	4
CARBOPLATIN	TEMOZOLOMIDE	HT144	-33.5020279855	4
CARBOPLATIN	TEMOZOLOMIDE	HT29	-13.2483597251	4
CARBOPLATIN	TEMOZOLOMIDE	KPL1	2.0915164918999998	4
CARBOPLATIN	TEMOZOLOMIDE	LNCAP	-42.805360213	4
CARBOPLATIN	TEMOZOLOMIDE	LOVO	4.5237597831	4
CARBOPLATIN	TEMOZOLOMIDE	MDAMB436	-2.2123598919	4
CARBOPLATIN	TEMOZOLOMIDE	MSTO	-24.537447407800002	4
CARBOPLATIN	TEMOZOLOMIDE	NCIH1650	-35.0089196899	4
CARBOPLATIN	TEMOZOLOMIDE	NCIH2122	-18.4284188168	4
CARBOPLATIN	TEMOZOLOMIDE	NCIH23	-35.4502936264	4
CARBOPLATIN	TEMOZOLOMIDE	NCIH460	-33.1682341073	4
CARBOPLATIN	TEMOZOLOMIDE	NCIH520	-2.4308039138999997	4
CARBOPLATIN	TEMOZOLOMIDE	OCUBM	-10.9671358965	4
CARBOPLATIN	TEMOZOLOMIDE	OV90	-10.546874228	4
CARBOPLATIN	TEMOZOLOMIDE	OVCAR3	-21.7482679012	4
CARBOPLATIN	TEMOZOLOMIDE	PA1	-7.948085196799999	4
CARBOPLATIN	TEMOZOLOMIDE	RKO	-1.2311254072	4
CARBOPLATIN	TEMOZOLOMIDE	RPMI7951	2.0877139793	4
CARBOPLATIN	TEMOZOLOMIDE	SKMEL30	5.8134599503999995	4
CARBOPLATIN	TEMOZOLOMIDE	SKMES1	-10.6926833703	4
CARBOPLATIN	TEMOZOLOMIDE	SKOV3	-20.8090800798	4
CARBOPLATIN	TEMOZOLOMIDE	SW620	1.2186225606	4
CARBOPLATIN	TEMOZOLOMIDE	SW837	-27.0532930436	4
CARBOPLATIN	TEMOZOLOMIDE	T47D	-136.9097826562	4
CARBOPLATIN	TEMOZOLOMIDE	UACC62	-11.9998905026	4
CARBOPLATIN	TEMOZOLOMIDE	UWB1289BRCA1	7.0564508059	4
CARBOPLATIN	TEMOZOLOMIDE	UWB1289	5.8919522989	4
CARBOPLATIN	TEMOZOLOMIDE	VCAP	-19.6588170218	4
CARBOPLATIN	TEMOZOLOMIDE	ZR751	-41.817275562	4
CARBOPLATIN	ZOLINZA	A2058	-23.293997981700002	4
CARBOPLATIN	ZOLINZA	A2780	13.242924925699999	4
CARBOPLATIN	ZOLINZA	A375	17.9551322752	4
CARBOPLATIN	ZOLINZA	A427	-29.5311620287	4
